Listening on 127.0.0.1:9999
16:23:06: 3950x RT, 65.8 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=915.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:08: 3954x RT, 65.9 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=957.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:10: 4046x RT, 67.4 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=872.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:12: 3646x RT, 60.8 creatures/sec. Fitness: best=1858.4, avg=1197.5, new=(qd-mutate=839.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:14: 3915x RT, 65.2 creatures/sec. Fitness: best=1858.4, avg=1205.6, new=(qd-mutate=935.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:16: 3941x RT, 65.7 creatures/sec. Fitness: best=1858.4, avg=1216.5, new=(qd-mutate=937.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:18: 4103x RT, 68.4 creatures/sec. Fitness: best=1858.4, avg=1216.5, new=(qd-mutate=869.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:20: 6272x RT, 104.5 creatures/sec. Fitness: best=1858.4, avg=1216.5, new=(qd-mutate=878.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:22: 6065x RT, 101.1 creatures/sec. Fitness: best=1858.4, avg=1216.5, new=(qd-mutate=920.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:24: 6135x RT, 102.2 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=903.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:27: 6052x RT, 100.9 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=952.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:29: 6517x RT, 108.6 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=904.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:31: 6595x RT, 109.9 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=911.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:33: 6401x RT, 106.7 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=906.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:35: 6616x RT, 110.3 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=907.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:37: 6714x RT, 111.9 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=901.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:39: 6429x RT, 107.2 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=895.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:41: 6683x RT, 111.4 creatures/sec. Fitness: best=1858.4, avg=1228.7, new=(qd-mutate=948.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:43: 6215x RT, 103.6 creatures/sec. Fitness: best=1858.4, avg=1233.5, new=(qd-mutate=898.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:45: 6636x RT, 110.6 creatures/sec. Fitness: best=1858.4, avg=1233.5, new=(qd-mutate=920.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:47: 6723x RT, 112.1 creatures/sec. Fitness: best=1858.4, avg=1233.5, new=(qd-mutate=926.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:49: 5104x RT, 85.1 creatures/sec. Fitness: best=1858.4, avg=1236.3, new=(qd-mutate=884.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:51: 6727x RT, 112.1 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=833.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:53: 6674x RT, 111.2 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=909.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:55: 6628x RT, 110.5 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=871.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:57: 6642x RT, 110.7 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=871.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:23:59: 6078x RT, 101.3 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=875.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
4646800 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-2h/config.json. 
16:24:01: 5855x RT, 97.6 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=958.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:03: 6660x RT, 111.0 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=846.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:06: 6419x RT, 107.0 creatures/sec. Fitness: best=1858.4, avg=1241.2, new=(qd-mutate=893.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:08: 6513x RT, 108.5 creatures/sec. Fitness: best=1858.4, avg=1242.0, new=(qd-mutate=917.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:10: 6676x RT, 111.3 creatures/sec. Fitness: best=1858.4, avg=1242.0, new=(qd-mutate=867.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:12: 6295x RT, 104.9 creatures/sec. Fitness: best=1858.4, avg=1242.0, new=(qd-mutate=854.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:14: 5620x RT, 93.7 creatures/sec. Fitness: best=1858.4, avg=1243.0, new=(qd-mutate=937.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:16: 5808x RT, 96.8 creatures/sec. Fitness: best=1858.4, avg=1243.0, new=(qd-mutate=887.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:18: 5438x RT, 90.6 creatures/sec. Fitness: best=1858.4, avg=1244.6, new=(qd-mutate=916.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:20: 6624x RT, 110.4 creatures/sec. Fitness: best=1858.4, avg=1244.6, new=(qd-mutate=958.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:22: 6313x RT, 105.2 creatures/sec. Fitness: best=1858.4, avg=1250.7, new=(qd-mutate=892.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:24: 6359x RT, 106.0 creatures/sec. Fitness: best=1858.4, avg=1250.7, new=(qd-mutate=945.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:26: 6261x RT, 104.3 creatures/sec. Fitness: best=1858.4, avg=1252.4, new=(qd-mutate=873.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:28: 6082x RT, 101.4 creatures/sec. Fitness: best=1858.4, avg=1252.4, new=(qd-mutate=889.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:30: 6128x RT, 102.1 creatures/sec. Fitness: best=1858.4, avg=1254.2, new=(qd-mutate=958.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:32: 6065x RT, 101.1 creatures/sec. Fitness: best=1858.4, avg=1254.2, new=(qd-mutate=900.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:34: 5930x RT, 98.8 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=919.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:36: 6298x RT, 105.0 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=879.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:39: 6473x RT, 107.9 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=942.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:41: 5824x RT, 97.1 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=945.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:43: 5545x RT, 92.4 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=924.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:45: 6570x RT, 109.5 creatures/sec. Fitness: best=1858.4, avg=1262.5, new=(qd-mutate=873.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:47: 6233x RT, 103.9 creatures/sec. Fitness: best=1858.4, avg=1266.9, new=(qd-mutate=941.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:49: 6486x RT, 108.1 creatures/sec. Fitness: best=1858.4, avg=1266.9, new=(qd-mutate=944.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:51: 6435x RT, 107.3 creatures/sec. Fitness: best=1858.4, avg=1268.8, new=(qd-mutate=942.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:53: 6542x RT, 109.0 creatures/sec. Fitness: best=1858.4, avg=1268.8, new=(qd-mutate=900.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
--> new robust best creature found through qd-mutate! Fitness=1912.6542146445895 domains=[1832.729126, 1948.31897, 2215.585449]
16:24:55: 6562x RT, 109.4 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=918.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:57: 6558x RT, 109.3 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=931.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:24:59: 6573x RT, 109.5 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=940.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
5419314 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-2h/config.json. 
16:25:01: 6359x RT, 106.0 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=952.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:03: 5116x RT, 85.3 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=891.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:05: 2748x RT, 45.8 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=861.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:07: 3432x RT, 57.2 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=912.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:09: 3821x RT, 63.7 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=955.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:11: 4016x RT, 66.9 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=984.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:13: 4019x RT, 67.0 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=984.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:15: 4032x RT, 67.2 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=907.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:17: 3671x RT, 61.2 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=895.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
