Using 8 worker threads.
Speed: 7.399999 creatures/sec. Server status: 19:54:38: 3739x RT, 62.3 creatures/sec. Fitness: best=1123.5, avg=756.1, new=(qd-mutate=644.5). MAP-Elites(8x8, morphologies=3): occupied=23, pending=192, in flight=24
Speed: 6.399994 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.300000 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.299995 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.199997 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.299995 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.299993 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.298621 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.099999 creatures/sec. Server status: 19:54:49: 3561x RT, 59.4 creatures/sec. Fitness: best=1123.5, avg=766.5, new=(qd-mutate=644.3). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 7.099992 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.899976 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 7.099871 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 7.099977 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.797288 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
