Listening on 127.0.0.1:9999
--> new robust best creature found through template-m1-balanced! Fitness=435.646299949929 domains=[546.106262, 542.748718, 385.881287]
21:36:11: 5780x RT, 96.3 creatures/sec. Fitness: best=1207.8, avg=862.3, new=(qd-mutate=631.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:13: 5737x RT, 95.6 creatures/sec. Fitness: best=1207.8, avg=862.3, new=(qd-mutate=629.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:15: 5798x RT, 96.6 creatures/sec. Fitness: best=1207.8, avg=862.3, new=(qd-mutate=658.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:18: 5680x RT, 94.7 creatures/sec. Fitness: best=1207.8, avg=862.3, new=(qd-mutate=640.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
--> new robust best creature found through qd-mutate! Fitness=1227.4848347527902 domains=[1499.682495, 1161.006104, 1244.320679]
21:36:20: 5724x RT, 95.4 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=653.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:22: 5840x RT, 97.3 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=634.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:24: 5680x RT, 94.7 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=681.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:26: 5787x RT, 96.4 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=646.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:28: 5746x RT, 95.8 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=640.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:30: 5732x RT, 95.5 creatures/sec. Fitness: best=1227.5, avg=875.7, new=(qd-mutate=610.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:32: 5733x RT, 95.6 creatures/sec. Fitness: best=1227.5, avg=878.6, new=(qd-mutate=609.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:34: 5791x RT, 96.5 creatures/sec. Fitness: best=1227.5, avg=878.6, new=(qd-mutate=683.2). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:36: 5712x RT, 95.2 creatures/sec. Fitness: best=1227.5, avg=878.6, new=(qd-mutate=627.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:38: 5817x RT, 96.9 creatures/sec. Fitness: best=1227.5, avg=878.6, new=(qd-mutate=659.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:40: 5713x RT, 95.2 creatures/sec. Fitness: best=1227.5, avg=887.7, new=(qd-mutate=631.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:42: 5747x RT, 95.8 creatures/sec. Fitness: best=1227.5, avg=887.7, new=(qd-mutate=643.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:44: 5744x RT, 95.7 creatures/sec. Fitness: best=1227.5, avg=887.7, new=(qd-mutate=676.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:46: 5784x RT, 96.4 creatures/sec. Fitness: best=1227.5, avg=888.5, new=(qd-mutate=682.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:48: 5760x RT, 96.0 creatures/sec. Fitness: best=1227.5, avg=888.5, new=(qd-mutate=639.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
6347783 bytes written to /Users/dag/projects/Machine-Evolved-credible-training/training-runs/me-v2-harmonic-qd-01-double-gravity-double-population-8w/config.json. 
21:36:51: 5636x RT, 93.9 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=631.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:53: 5787x RT, 96.5 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=627.1). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:55: 5771x RT, 96.2 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=623.7). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:57: 5708x RT, 95.1 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=651.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:36:59: 5714x RT, 95.2 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=623.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:01: 5759x RT, 96.0 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=671.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:03: 5784x RT, 96.4 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=666.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:05: 5740x RT, 95.7 creatures/sec. Fitness: best=1227.5, avg=891.6, new=(qd-mutate=635.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:07: 5740x RT, 95.7 creatures/sec. Fitness: best=1227.5, avg=891.8, new=(qd-mutate=679.9). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:09: 5776x RT, 96.3 creatures/sec. Fitness: best=1227.5, avg=891.8, new=(qd-mutate=678.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
--> new robust best creature found through qd-mutate! Fitness=1243.8763029510126 domains=[1174.282349, 1426.19104, 1353.039551]
21:37:11: 5788x RT, 96.5 creatures/sec. Fitness: best=1243.9, avg=903.9, new=(qd-mutate=678.3). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:13: 5699x RT, 95.0 creatures/sec. Fitness: best=1243.9, avg=904.0, new=(qd-mutate=633.0). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:15: 5749x RT, 95.8 creatures/sec. Fitness: best=1243.9, avg=904.0, new=(qd-mutate=675.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
21:37:17: 5715x RT, 95.2 creatures/sec. Fitness: best=1243.9, avg=904.0, new=(qd-mutate=634.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=384, in flight=40
